Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VSM,Versum Materials Inc.,51.87,5670,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vsm
ARW,Arrow Electronics Inc.,68.07,5660,1900,Technology,Electronic Components,https://www.nasdaq.com/symbol/arw
SON,Sonoco Products Company,56.5,5650,1900,Consumer Durables,Containers-Packaging,https://www.nasdaq.com/symbol/son
ALV,Autoliv Inc.,64.23,5600,1900,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alv
ENIC,Enel Chile S.A.,3.99,5520,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/enic
CBD,Companhia Brasileira de Distribuicao,20.63,5500,1997,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/cbd
KT,KT Corporation,11.21,5500,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/kt
HRB,H&R Block Inc.,27.16,5490,1900,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/hrb
IDA,IDACORP Inc.,109.01,5490,1900,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ida
UNM,Unum Group,26.29,5480,1900,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/unm
JEF,Jefferies Financial Group Inc.,18.24,5470,1900,Finance,Investment Bankers-Brokers-Service,https://www.nasdaq.com/symbol/jef
KNX,Knight Transportation Inc.,32.07,5470,2017,Transportation,Trucking Freight-Courier Services,https://www.nasdaq.com/symbol/knx
BRX,Brixmor Property Group Inc.,18.25,5440,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/brx
AXS,Axis Capital Holdings Limited,64.7,5430,2003,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/axs
ENBL,Enable Midstream Partners LP,12.47,5430,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/enbl
FLS,Flowserve Corporation,41.29,5420,1900,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/fls
HHC,Howard Hughes Corporation (The),125.23,5400,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hhc
SNV,Synovus Financial Corp.,34.9,5390,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/snv
NYCB,New York Community Bancorp Inc.,11.48,5370,1900,Finance,Banks,https://www.nasdaq.com/symbol/nycb
SMAR,Smartsheet Inc.,50.36,5370,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/smar
CCC,Clarivate Analytics Plc,17.55,5360,2019,Technology,EDP Services,https://www.nasdaq.com/symbol/ccc
GRUB,GrubHub Inc.,58.5,5340,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/grub
BWXT,BWX Technologies Inc.,56.02,5330,1900,Energy,Industrial Machinery Components,https://www.nasdaq.com/symbol/bwxt
TTM,Tata Motors Ltd,7.85,5330,1900,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/ttm
ACM,AECOM,33.7,5320,2007,Consumer Services,Military-Government-Technical,https://www.nasdaq.com/symbol/acm
CACI,CACI International Inc.,213.35,5310,1900,Technology,EDP Services,https://www.nasdaq.com/symbol/caci
SWI,SolarWinds Corporation,17.13,5310,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/swi
WSM,Williams-Sonoma Inc.,67.42,5300,1900,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/wsm
MDU,MDU Resources Group Inc.,26.53,5280,1900,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/mdu
PVH,PVH Corp.,70.48,5280,1900,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/pvh
BERY,Berry Global Group Inc.,39.92,5270,2012,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/bery
SAM,Boston Beer Company Inc. (The),435.01,5260,1900,Consumer Non-Durables,Beverages (Production-Distribution),https://www.nasdaq.com/symbol/sam
HLF,Herbalife Nutrition Ltd.,34.75,5260,2004,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/hlf
NEU,NewMarket Corporation,470.52,5260,1900,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/neu
VIPS,Vipshop Holdings Limited,7.81,5210,2012,Consumer Services,Catalog - Specialty Distribution,https://www.nasdaq.com/symbol/vips
PE,Parsley Energy Inc.,16.4,5190,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pe
CW,Curtiss-Wright Corporation,121.31,5180,1900,Technology,Industrial Machinery Components,https://www.nasdaq.com/symbol/cw
THG,The Hanover Insurance Group Inc.,131,5180,1900,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/thg
ALSN,Allison Transmission Holdings Inc.,42.93,5170,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
CFR,Cullen/Frost Bankers Inc.,82.38,5160,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/cfr
GMED,Globus Medical Inc.,51.94,5150,2012,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/gmed
JBGS,JBG SMITH Properties,38.4,5150,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jbgs
HPP,Hudson Pacific Properties Inc.,33.29,5140,2010,Finance,Real Estate,https://www.nasdaq.com/symbol/hpp
PAC,Grupo Aeroportuario Del Pacifico S.A. de C.V.,91.37,5130,2006,Transportation,Aerospace,https://www.nasdaq.com/symbol/pac
INGR,Ingredion Incorporated,76.91,5130,1900,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/ingr
TOL,Toll Brothers Inc.,35.67,5130,1900,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/tol
GFI,Gold Fields Limited,6.12,5070,1900,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gfi
AGCO,AGCO Corporation,66.28,5050,1900,Capital Goods,Industrial Machinery Components,https://www.nasdaq.com/symbol/agco
POR,Portland General Electric Company,56.34,5040,1900,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/por
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,84.72,5000,1900,Technology,EDP Services,https://www.nasdaq.com/symbol/saic
HUYA,HUYA Inc.,22.81,4980,2018,Technology,Computer Software: Programming Data Processing,https://www.nasdaq.com/symbol/huya
CHH,Choice Hotels International Inc.,89.17,4970,1900,Consumer Services,Hotels-Resorts,https://www.nasdaq.com/symbol/chh
CUZ,Cousins Properties Incorporated,33.86,4970,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cuz
HBI,Hanesbrands Inc.,13.73,4960,1900,Consumer Services,Clothing-Shoe-Accessory Stores,https://www.nasdaq.com/symbol/hbi
OMF,OneMain Holdings Inc.,36.43,4960,2013,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/omf
PEN,Penumbra Inc.,142.6,4960,2015,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/pen
CIG,Comp En De Mn Cemig ADS,3.39,4950,1900,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cig
SIX,Six Flags Entertainment Corporation New,58.73,4950,1900,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/six
TPL,Texas Pacific Land Trust,636.25,4930,1900,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tpl
FLO,Flowers Foods Inc.,23.24,4920,1900,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/flo
LSI,Life Storage Inc.,105.36,4920,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/lsi
FR,First Industrial Realty Trust Inc.,38.81,4910,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fr
TREX,Trex Company Inc.,83.84,4900,1900,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/trex
ACH,Aluminum Corporation of China Limited,7.18,4890,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
PFGC,Performance Food Group Company,46.46,4890,2015,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/pfgc
MMS,Maximus Inc.,76.54,4880,1997,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mms
NYT,New York Times Company (The),29.42,4880,1900,Consumer Services,Newspapers-Magazines,https://www.nasdaq.com/symbol/nyt
CHGG,Chegg Inc.,40.42,4840,2013,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/chgg
FHN,First Horizon National Corporation,15.5,4840,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/fhn
GGB,Gerdau S.A.,2.85,4840,1900,Capital Goods,Steel-Iron Ore,https://www.nasdaq.com/symbol/ggb
HOG,Harley-Davidson Inc.,30.89,4840,1900,Consumer Non-Durables,Motor Vehicles,https://www.nasdaq.com/symbol/hog
HE,Hawaiian Electric Industries Inc.,44.38,4840,1900,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/he
LEG,Leggett & Platt Incorporated,36.85,4840,1900,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/leg
PSB,PS Business Parks Inc.,176.35,4840,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psb
AYI,Acuity Brands Inc. ,120.96,4830,1900,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
ESRT,Empire State Realty Trust Inc.,13.54,4830,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/esrt
PII,Polaris Inc.,78.99,4830,1900,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/pii
WH,Wyndham Hotels & Resorts Inc.,50.1,4830,2018,Consumer Services,Hotels-Resorts,https://www.nasdaq.com/symbol/wh
ITT,ITT Inc.,54.82,4820,2011,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/itt
MAN,ManpowerGroup,80.63,4820,1900,Technology,Professional Services,https://www.nasdaq.com/symbol/man
PRI,Primerica Inc.,115.09,4820,2010,Finance,Life Insurance,https://www.nasdaq.com/symbol/pri
SWX,Southwest Gas Holdings Inc.,88.04,4780,1900,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/swx
UMC,United Microelectronics Corporation,2.04,4780,1900,Technology,Semiconductors,https://www.nasdaq.com/symbol/umc
LTM,LATAM Airlines Group S.A.,7.87,4770,1900,Transportation,Air Freight-Delivery Services,https://www.nasdaq.com/symbol/ltm
OGS,ONE Gas Inc.,90.38,4770,2014,Public Utilities,Oil-Gas Transmission,https://www.nasdaq.com/symbol/ogs
ESNT,Essent Group Ltd.,48.23,4750,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esnt
REXR,Rexford Industrial Realty Inc.,43.29,4750,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rexr
BKH,Black Hills Corporation,77.64,4740,1900,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/bkh
FND,Floor & Decor Holdings Inc.,47.62,4740,2017,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fnd
CX,Cemex S.A.B. de C.V.,3.15,4730,1900,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cx
PWR,Quanta Services Inc.,33.21,4720,1900,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/pwr
BXMT,Capital Trust Inc.,34.99,4700,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bxmt
PK,Park Hotels & Resorts Inc.,23.25,4690,2016,Consumer Services,Hotels-Resorts,https://www.nasdaq.com/symbol/pk
GNRC,Generac Holdlings Inc.,74.97,4680,2010,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/gnrc
LB,L Brands Inc.,16.92,4680,1900,Consumer Services,Clothing-Shoe-Accessory Stores,https://www.nasdaq.com/symbol/lb
TKC,Turkcell Iletisim Hizmetleri AS,5.33,4670,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tkc
SKX,Skechers U.S.A. Inc.,29.7,4660,1999,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/skx
TNET,TriNet Group Inc.,66.28,4640,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tnet
MTZ,MasTec Inc.,60.61,4630,1900,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/mtz
EGP,EastGroup Properties Inc.,122.67,4610,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/egp
MDLA,Medallia Inc.,37.61,4610,2019,Technology,Computer Software: Programming Data Processing,https://www.nasdaq.com/symbol/mdla
OSK,Oshkosh Corporation,67.21,4600,1900,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/osk
EME,EMCOR Group Inc.,81.75,4590,1900,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/eme
RDN,Radian Group Inc.,22.55,4580,1900,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/rdn
PHI,PLDT Inc.,21.06,4550,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/phi
KMPR,Kemper Corporation,68.16,4540,1900,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpr
M,"Macy&#39,s Inc",14.71,4540,1900,Consumer Services,Department-Specialty Retail Stores,https://www.nasdaq.com/symbol/m
AWI,Armstrong World Industries Inc,92.87,4520,1900,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/awi
TV,Grupo Televisa S.A.,7.82,4520,1993,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/tv
EV,Eaton Vance Corporation,39.4,4510,1900,Finance,Investment Managers,https://www.nasdaq.com/symbol/ev
JWN,Nordstrom Inc.,28.85,4470,1900,Consumer Services,Clothing-Shoe-Accessory Stores,https://www.nasdaq.com/symbol/jwn
SHLX,Shell Midstream Partners L.P.,19.16,4470,2014,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/shlx
SID,National Steel Company,3.22,4440,1900,Capital Goods,Steel-Iron Ore,https://www.nasdaq.com/symbol/sid
ALE,Allete Inc.,85.8,4430,1900,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
HIW,Highwoods Properties Inc.,42.74,4430,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hiw
TEO,Telecom Argentina Stet - France Telecom S.A.,10.29,4430,1900,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/teo
AL,Air Lease Corporation,39.59,4420,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
CNK,Cinemark Holdings Inc,37.61,4410,2007,Consumer Services,Movies-Entertainment,https://www.nasdaq.com/symbol/cnk
MTG,MGIC Investment Corporation,12.46,4410,1991,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mtg
CR,Crane Co.,73.25,4390,1900,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/cr
PB,Prosperity Bancshares Inc.,63.61,4390,1900,Finance,Major Banks,https://www.nasdaq.com/symbol/pb
WAL,Western Alliance Bancorporation,42.36,4390,2005,Finance,Major Banks,https://www.nasdaq.com/symbol/wal
GRA,W.R. Grace & Co.,65.52,4370,1900,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gra
